gs,,,,,,,,,,,,
,,,,,,,,,,,,
Station,Date(NZST),Time(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Christchurch Aero,20180109,800,23.8,24,16.1,24,15.5,24,-,-,-,D
Christchurch Aero,20180110,800,25.9,24,15,24,15,24,-,-,-,D
Christchurch Aero,20180111,800,16.6,24,11.4,24,11.3,24,-,-,-,D
Christchurch Aero,20180112,800,14.7,24,11.5,24,11.3,24,-,-,-,D
Christchurch Aero,20180113,800,15.3,24,12.4,24,13.1,24,-,-,-,D
Christchurch Aero,20180114,800,21.2,24,14.5,24,14.1,24,-,-,-,D
Christchurch Aero,20180115,800,29.5,24,16.9,24,16.8,24,-,-,-,D
Christchurch Aero,20180116,800,25,24,16.8,24,15,24,-,-,-,D
Christchurch Aero,20180117,800,25.8,24,17,24,14,24,-,-,-,D
Christchurch Aero,20180118,800,26.8,24,15.7,24,12,24,-,-,-,D
Christchurch Aero,20180119,800,28.3,24,17.1,24,16.2,24,-,-,-,D
Christchurch Aero,20180120,800,23.8,24,15.1,24,12.1,24,-,-,-,D
Christchurch Aero,20180121,800,31.1,24,16.4,24,15.1,24,-,-,-,D
Christchurch Aero,20180122,800,22.9,24,17,24,17.3,24,-,-,-,D
Christchurch Aero,20180123,800,27.3,24,18,24,17.5,24,-,-,-,D
Christchurch Aero,20180124,800,24.2,24,14.5,24,10.9,24,-,-,-,D
Christchurch Aero,20180125,800,31.8,24,17,24,15.5,24,-,-,-,D
Christchurch Aero,20180126,800,29.3,24,16.6,24,16.6,24,-,-,-,D
Christchurch Aero,20180127,800,22.5,24,16.8,24,14.6,24,-,-,-,D
Christchurch Aero,20180128,800,23.8,24,17.9,24,16,24,-,-,-,D
Christchurch Aero,20180129,800,27.2,24,17.4,24,15.5,24,-,-,-,D
Christchurch Aero,20180130,800,24,24,18,24,15.9,24,-,-,-,D
Christchurch Aero,20180131,800,29.9,24,15.9,24,14.7,24,-,-,-,D
Christchurch Aero,20180201,800,29.9,24,19.6,24,18.1,24,-,-,-,D
Christchurch Aero,20180202,800,34.5,24,9.9,24,10,24,-,-,-,D
Christchurch Aero,20180203,800,17,24,10.2,24,9.5,24,-,-,-,D
Christchurch Aero,20180204,800,17.4,24,7.5,24,4.1,24,-,-,-,D
Christchurch Aero,20180205,800,25.1,24,13.3,24,9.7,24,-,-,-,D
Christchurch Aero,20180206,800,26.9,24,9.8,24,6.8,24,-,-,-,D
